arm,seed,label,n_days,start,end,start_equity,end_equity,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,turnover_per_cycle,total_costs,time_in_market,n_cycles,risk_free_rate
hmm_only,8,hmm_only/seed8,2765,2015-01-02,2025-12-30,100000.0,287274.3694213771,1.8727436942137707,0.10075809834062621,0.12044825874554403,0.8591285859584491,1.1565547196463721,-0.14652549020988181,0.6876489421485723,0.5401591895803184,1.5113110568240862,74869.6215,0.7827098441968631,571,0.0
hmm_only,9,hmm_only/seed9,2765,2015-01-02,2025-12-30,100000.0,287914.1367039292,1.879141367039292,0.10098088157847562,0.1201893737304755,0.8625264502803237,1.124477136896171,-0.18898027514577873,0.5343461453878153,0.5437771345875543,1.5112859134964471,66755.6333,0.787757314026457,571,0.0
hmm_only,10,hmm_only/seed10,2765,2015-01-02,2025-12-30,100000.0,295463.2974526633,1.9546329745266329,0.10357625063923548,0.11743466698703649,0.8999676082775895,1.2192096373244863,-0.16286555337316702,0.635961678169696,0.5434153400868307,1.5030503642319273,75256.30380000001,0.7818423915891265,571,0.0
hmm_only,11,hmm_only/seed11,2765,2015-01-02,2025-12-30,100000.0,279201.666459886,1.7920166645988602,0.09790753659565254,0.12055706640279587,0.8370042353293214,1.0804152610487574,-0.20766852362635718,0.4714606474104397,0.5463096960926194,1.497914578136813,73836.7995,0.7843595177313136,571,0.0
hmm_only,12,hmm_only/seed12,2765,2015-01-02,2025-12-30,100000.0,153777.92139325733,0.5377792139325732,0.039924953947197306,0.10233257216184048,0.4346766529117314,0.47349007511715896,-0.20925002122822617,0.19080023845565922,0.3744573082489146,1.071636938619461,42832.1011,0.5610313188670139,571,0.0
hmm_only,13,hmm_only/seed13,2765,2015-01-02,2025-12-30,100000.0,230669.42881399073,1.3066942881399073,0.07900062609682967,0.12069275481779307,0.6918934472409354,0.9069623161781774,-0.16675742680845562,0.4737457731797038,0.538712011577424,1.5026599886196714,65131.706699999995,0.7799407566846528,571,0.0
hmm_only,14,hmm_only/seed14,2765,2015-01-02,2025-12-30,100000.0,154058.3098321134,0.5405830983211339,0.04009730468452832,0.10997084025383175,0.41358559759867414,0.4354471684922417,-0.21545100130034298,0.1861086949817972,0.3954413892908828,1.1263448286227404,44565.4756,0.5829712792504457,571,0.0
hmm_only,15,hmm_only/seed15,2765,2015-01-02,2025-12-30,100000.0,257602.41758165671,1.576024175816567,0.0898950330092072,0.1182288476657232,0.7889840345343425,1.0359643010156863,-0.1887604693760627,0.47623866006664567,0.5477568740955138,1.496987887866988,65796.4771,0.7792780862993527,571,0.0
hmm_only,16,hmm_only/seed16,2765,2015-01-02,2025-12-30,100000.0,302993.9209593655,2.029939209593655,0.10610586918493659,0.11780399200277321,0.9171207165888225,1.1886246248546761,-0.1863620355896838,0.5693534568304004,0.5513748191027497,1.509130835134102,77565.72690000001,0.7863108814164272,571,0.0
hmm_only,17,hmm_only/seed17,2765,2015-01-02,2025-12-30,100000.0,257655.6525433639,1.5765565254336389,0.08991552082076426,0.11972193291936772,0.7808151872950878,1.015239535611916,-0.19100464363917058,0.4707504441128922,0.552821997105644,1.5061598780120198,64668.9731,0.7871247870391717,571,0.0
