Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-03-18,100588.60292477973,101622.50291768136,99930.55727863261,100742.11829075348,100451.6666035497,99869.58421685833,100725.94353496582,101797.42301337777,100101.27687777995,103029.29360873593
2015-03-19,100345.09869761973,101384.01353276387,99709.47747568836,100487.78559811223,100202.31199970099,99684.40163694837,100565.48989038974,101508.7070495058,99962.59160008194,102559.28911908138
2015-03-20,101053.51299928954,102172.61962212296,100608.37798998784,101195.8212504514,100917.51847543963,100508.76739759438,101304.66891257753,102571.27372705877,100440.90222918813,103464.56300045956
2015-03-23,100184.95691988542,101170.07332028504,99661.18997544816,100327.67066456485,100055.2811591242,99612.14847943843,100302.59473382076,101697.62153261316,100043.10328759876,103262.98910489072
2015-03-24,99420.79906959964,100360.781114671,98887.38786055916,99562.30545007667,99291.47640020387,98837.37259394444,99537.50650781082,100741.68924650148,99589.92238513433,102682.75652133358
2015-03-25,97679.47418816246,98146.85085502753,97064.34122269318,97815.0677850249,97547.6672769897,96982.86634243742,97609.91477608433,98125.57650626876,98382.09338644799,101178.03316415584
2015-03-26,97545.34624067413,97978.5850399072,96933.62361298953,97681.29101734232,97413.88227129346,96848.61622076845,97469.18137283639,97995.78814398727,98355.08643541676,100937.1121165179
2015-03-27,97862.05809953352,98500.1519808439,97271.62142519688,97998.58178142691,97731.337482187,97204.45469194991,97861.89784510536,98475.07801892662,98517.19801583637,101168.20315857112
2015-03-30,98864.84796624209,99415.26755067203,98268.91297403334,98988.12384240185,98731.62388015221,98198.82247676738,98798.63328574163,99755.57296396601,99144.58828949269,102402.42501892269
2015-03-31,98236.45940423179,98721.03517466127,97619.31905393407,98346.74264118329,98100.06552953568,97586.89728386908,98145.42228482201,98715.43234353517,98789.88072131164,101507.50565124692
2015-04-01,98040.73461287211,98572.3443986154,97283.50939776553,98145.14753089848,97910.95990184371,97310.33420292733,97954.62137134469,98214.74840915758,98534.56545719504,101148.5431474017
2015-04-02,98254.15303530924,98826.75276132072,97471.19855831066,98368.58919299324,98109.27860212281,97553.64759115672,98163.08404144147,98546.75991279603,98687.9851422381,101512.40708917416
2015-04-06,98629.49499327927,99285.27909872553,97895.74854670232,98730.95022572952,98493.20887923517,97864.78173087462,98576.26004755418,99256.60910080289,98862.00556304134,102195.91351245297
2015-04-07,98527.28962999639,99347.15119068386,97867.78553066011,98635.28217212923,98372.6420895066,97900.12197860995,98541.25455525755,99399.58348856257,98889.90251910631,101925.48436157405
2015-04-08,98673.3022144099,99481.72835265979,98042.9347812108,98781.98450945635,98515.63819749963,98101.8710905565,98693.67046211282,99712.43512406993,98998.37628941092,102269.67924893368
2015-04-09,99156.38314061743,100039.74904597491,98637.99558286139,99266.07070665722,99008.47075551347,98683.41800647692,99234.91404061498,100532.73851319395,99250.22211342849,102722.05845718563
2015-04-10,99588.32939708963,100513.66321735473,99064.40556838365,99697.84792016116,99447.58684018956,99084.89581652399,99677.01688308464,101101.19816660868,99456.35563109702,103282.64007281674
2015-04-13,99251.28379019132,100004.87781973906,98683.72807176497,99364.89397732326,99125.29842449482,98759.99280491765,99281.57469290216,100419.04781472242,99191.25050002558,102815.47516159237
2015-04-14,99535.87804941942,100179.96228374015,98959.3401876658,99668.74749114868,99423.29246252276,98988.68544098835,99559.81470140048,100620.97430936944,99308.42001868694,103012.20187869442
2015-04-15,100308.64672246341,100716.75007644815,99589.17219338284,100476.6981003659,100194.57965360637,99652.57058080267,100353.99098922414,101155.22498303733,99558.15224251336,103474.37491955746
